  Epoch    Train Loss    Test Loss    Base PSNR    Test PSNR      SSIM
-------  ------------  -----------  -----------  -----------  --------
      1      0.441685     0.412738      24.343       25.8243  0.781312
      2      0.399405     0.379829      24.5353      26.4677  0.805056
      3      0.380102     0.363198      24.7322      26.8362  0.816057
      4      0.376813     0.366567      24.6193      26.7754  0.813537
      5      0.371741     0.363297      24.4879      26.8724  0.819694
      6      0.366814     0.366176      24.4017      26.7925  0.817342
      7      0.362126     0.343947      24.8632      27.3259  0.832939
      8      0.35459      0.351103      24.4994      27.1794  0.829375
      9      0.352971     0.33794       24.6189      27.57    0.835063
     10      0.343845     0.345199      24.4224      27.3466  0.834184
     11      0.338344     0.335064      24.5201      27.6377  0.839989
     12      0.335643     0.334197      24.3891      27.6753  0.838813
     13      0.329929     0.333042      24.2969      27.6669  0.844236
     14      0.32761      0.329487      24.3927      27.7729  0.847882
     15      0.32305      0.313989      24.4848      28.2085  0.852179
     16      0.320079     0.328561      24.1877      27.8568  0.844907
     17      0.315753     0.335603      24.138       27.5873  0.839939
     18      0.312587     0.32572       24.1025      27.8757  0.846945
     19      0.313376     0.315375      24.4088      28.1345  0.848141
     20      0.311378     0.313949      24.6706      28.3272  0.850395
     21      0.304147     0.314923      24.4592      28.1721  0.850347
     22      0.299682     0.302851      24.4883      28.6236  0.859294
     23      0.301807     0.298248      24.5224      28.6057  0.862955
     24      0.300519     0.305273      24.341       28.4607  0.85998
     25      0.301839     0.293988      24.5823      28.8227  0.86579
     26      0.299537     0.307858      24.2422      28.3352  0.858254
     27      0.301466     0.298218      24.3956      28.6181  0.862057
     28      0.296125     0.301899      24.2868      28.5239  0.86038
     29      0.298188     0.302195      24.3915      28.5589  0.85566
     30      0.300306     0.303144      24.3812      28.4503  0.861615
     31      0.298031     0.297424      24.5153      28.6926  0.858999
     32      0.291233     0.292045      24.4796      28.845   0.866996
     33      0.293447     0.307342      24.3152      28.4386  0.858312
     34      0.299059     0.299304      24.4003      28.6403  0.861137
     35      0.293921     0.293664      24.4646      28.7561  0.865328
     36      0.288453     0.288805      24.3969      28.9095  0.86992
     37      0.290845     0.295364      24.4903      28.7856  0.865129
     38      0.295186     0.295384      24.3337      28.7621  0.86328
     39      0.286734     0.286637      24.682       28.9921  0.871762
     40      0.290204     0.281924      24.6066      29.1743  0.872867
     41      0.28724      0.293986      24.2933      28.7685  0.867081
     42      0.284233     0.292032      24.3001      28.8336  0.868656
     43      0.286046     0.28455       24.5263      29.0089  0.871863
     44      0.289085     0.291186      24.3298      28.8634  0.868516
     45      0.287018     0.284177      24.4312      29.07    0.872377
     46      0.28422      0.295775      24.2947      28.7724  0.861633
     47      0.285441     0.282875      24.5364      29.0852  0.874195
     48      0.281427     0.285722      24.2937      29.0744  0.873571
     49      0.281007     0.289385      24.2801      28.94    0.869105
     50      0.275271     0.265637      24.8443      29.6665  0.882633
     51      0.277779     0.280157      24.5853      29.2013  0.873496
     52      0.278835     0.284588      24.3315      29.0155  0.870101
     53      0.275882     0.274835      24.7478      29.3855  0.879133
     54      0.276374     0.286962      24.4992      29.0304  0.870828
     55      0.278393     0.282529      24.3498      29.0558  0.870852
     56      0.277469     0.277738      24.4443      29.2666  0.876898
     57      0.275491     0.279101      24.3356      29.2189  0.874601
     58      0.281669     0.270151      24.774       29.5055  0.880095
     59      0.280381     0.266156      24.7257      29.6155  0.882154
     60      0.278572     0.289777      24.2596      28.9455  0.869973
     61      0.27208      0.289369      24.2986      28.9252  0.868867
     62      0.278028     0.275822      24.6101      29.3103  0.87763
