  Epoch    Train Loss    Test Loss    Base PSNR    Test PSNR      SSIM
-------  ------------  -----------  -----------  -----------  --------
      1      0.459095     0.439322      24.4165      25.3355  0.790238
      2      0.413412     0.378317      24.36        26.5777  0.828123
      3      0.35707      0.332137      24.4653      27.6608  0.860671
      4      0.32814      0.313678      24.4104      28.1429  0.872951
      5      0.313422     0.30426       24.4143      28.4025  0.880131
      6      0.302253     0.291764      24.4012      28.7544  0.88854
      7      0.291882     0.286895      24.4334      28.9316  0.894637
      8      0.286395     0.27892       24.3824      29.1515  0.897965
      9      0.277206     0.271752      24.3939      29.3846  0.902989
     10      0.271344     0.268965      24.4328      29.4784  0.905368
     11      0.266543     0.261015      24.3748      29.7228  0.9103
     12      0.260156     0.257961      24.4126      29.8307  0.912433
     13      0.256797     0.256463      24.3579      29.8554  0.913608
     14      0.253782     0.248951      24.3934      30.1074  0.917038
     15      0.249538     0.248846      24.3984      30.1228  0.917375
     16      0.245898     0.244565      24.434       30.2642  0.920145
     17      0.242613     0.2376        24.4298      30.5134  0.924517
     18      0.239382     0.241015      24.4463      30.4139  0.922276
     19      0.236994     0.236626      24.4726      30.5503  0.92565
     20      0.235258     0.228846      24.4878      30.8262  0.929412
     21      0.231302     0.231398      24.3738      30.7453  0.927921
     22      0.229978     0.226537      24.4042      30.9203  0.930231
     23      0.228275     0.226498      24.4432      30.9343  0.931563
     24      0.225868     0.223605      24.3778      31.0377  0.932319
     25      0.222752     0.222521      24.4218      31.0888  0.933676
     26      0.221801     0.218039      24.3612      31.2484  0.935761
     27      0.218832     0.216519      24.4595      31.3308  0.935788
     28      0.216749     0.214431      24.3764      31.4122  0.938077
     29      0.213919     0.212231      24.4272      31.485   0.939135
     30      0.211465     0.213251      24.4434      31.4637  0.938749
     31      0.210781     0.210979      24.3791      31.543   0.939895
     32      0.208631     0.206879      24.3812      31.703   0.941069
     33      0.206501     0.20365       24.4172      31.8315  0.94361
     34      0.20514      0.205386      24.3925      31.7773  0.942326
     35      0.204223     0.203309      24.3965      31.8495  0.943546
     36      0.201633     0.201553      24.3906      31.9264  0.9441
     37      0.200708     0.198103      24.4172      32.0683  0.947128
     38      0.19872      0.198487      24.4121      32.0624  0.946144
     39      0.198008     0.197502      24.4307      32.107   0.946615
     40      0.196085     0.196981      24.3504      32.1141  0.947117
     41      0.195321     0.192679      24.3964      32.3031  0.949621
     42      0.193147     0.193535      24.4181      32.2865  0.94931
     43      0.191877     0.190501      24.4085      32.3922  0.951091
     44      0.191055     0.191374      24.3541      32.3839  0.9499
     45      0.189505     0.189034      24.4283      32.4883  0.952855
     46      0.188541     0.18847       24.4416      32.4896  0.952283
     47      0.1884       0.193678      24.3948      32.3006  0.949626
     48      0.186556     0.187162      24.4217      32.5294  0.953033
     49      0.184221     0.184815      24.3981      32.6607  0.954379
     50      0.184452     0.183969      24.3631      32.6912  0.954398
     51      0.18342      0.182913      24.3971      32.759   0.955475
     52      0.182288     0.181352      24.3935      32.8342  0.956411
     53      0.181101     0.183266      24.4136      32.7431  0.955441
     54      0.18032      0.181473      24.4628      32.8378  0.956872
     55      0.17888      0.179659      24.3651      32.8965  0.957325
     56      0.178347     0.176796      24.414       33.0453  0.95876
     57      0.176994     0.178895      24.404       32.955   0.957589
     58      0.176522     0.176227      24.458       33.0657  0.958488
     59      0.175475     0.174927      24.4165      33.1665  0.959358
     60      0.174538     0.175806      24.3909      33.1001  0.959398
     61      0.173203     0.173418      24.3631      33.2269  0.960579
     62      0.172484     0.173186      24.4228      33.2297  0.960463
     63      0.171718     0.172911      24.438       33.2523  0.960119
     64      0.170403     0.174408      24.4626      33.207   0.95946
     65      0.170918     0.171549      24.4332      33.3361  0.961514
     66      0.169983     0.171825      24.4014      33.3009  0.960369
     67      0.169199     0.170568      24.3634      33.3822  0.961282
     68      0.168174     0.16882       24.4594      33.4563  0.962058
     69      0.168181     0.168657      24.4254      33.4766  0.962266
     70      0.166651     0.169798      24.3981      33.4046  0.961069
     71      0.166497     0.167349      24.4487      33.5504  0.963071
     72      0.166393     0.166648      24.4553      33.5804  0.963137
     73      0.166257     0.165091      24.4089      33.6595  0.963833
     74      0.165239     0.16539       24.3869      33.6645  0.963288
     75      0.164201     0.163331      24.3665      33.7624  0.96435
     76      0.163942     0.164416      24.4441      33.7138  0.963902
     77      0.163567     0.165092      24.3559      33.6604  0.963722
     78      0.162443     0.164471      24.415       33.7169  0.964297
     79      0.161921     0.164113      24.3835      33.7113  0.963707
     80      0.161495     0.161999      24.4003      33.8173  0.964626
     81      0.160893     0.16121       24.4158      33.8792  0.965096
     82      0.159479     0.160525      24.4336      33.9181  0.965957
     83      0.159448     0.16124       24.4302      33.8772  0.965444
     84      0.159154     0.160745      24.391       33.9185  0.965814
     85      0.15914      0.160076      24.4239      33.9459  0.965824
     86      0.157823     0.161588      24.4227      33.8519  0.965096
     87      0.157866     0.160227      24.3546      33.9148  0.965187
     88      0.158439     0.158739      24.3922      34.0129  0.965795
     89      0.156376     0.159706      24.3981      33.9641  0.96626
     90      0.156755     0.157652      24.4085      34.0706  0.96649
     91      0.156        0.15827       24.3586      34.0576  0.96642
     92      0.155525     0.158704      24.391       34.0173  0.96679
     93      0.15642      0.158115      24.373       34.0594  0.96655
     94      0.154442     0.156855      24.4241      34.1489  0.967336
     95      0.154602     0.156966      24.366       34.135   0.966966
     96      0.15396      0.157359      24.3951      34.1137  0.967498
     97      0.153956     0.155348      24.3845      34.2211  0.967831
     98      0.153606     0.157925      24.3873      34.0645  0.96697
     99      0.153064     0.156179      24.3689      34.1616  0.96787
    100      0.153413     0.15534       24.4343      34.2461  0.967199
    101      0.151705     0.154078      24.4034      34.2918  0.968517
    102      0.151934     0.153387      24.3939      34.328   0.968747
    103      0.151014     0.154612      24.436       34.2708  0.96842
    104      0.151379     0.153479      24.4798      34.3247  0.968828
    105      0.15033      0.152968      24.3993      34.3562  0.969164
    106      0.150282     0.152219      24.3988      34.3961  0.96893
    107      0.149076     0.151567      24.432       34.4551  0.969081
    108      0.150052     0.151724      24.5163      34.431   0.96891
    109      0.149801     0.152258      24.4395      34.411   0.968667
    110      0.148566     0.150768      24.3917      34.4671  0.969978
    111      0.148343     0.151574      24.3956      34.432   0.969649
    112      0.14799      0.149347      24.4101      34.5875  0.969999
    113      0.148287     0.150278      24.3953      34.5375  0.969416
    114      0.147988     0.150041      24.3682      34.5328  0.96993
    115      0.147557     0.149331      24.4323      34.5853  0.970005
    116      0.14709      0.148975      24.4309      34.5885  0.970029
    117      0.146341     0.150526      24.3609      34.5091  0.968662
    118      0.146203     0.148009      24.4411      34.6522  0.970087
    119      0.146202     0.14908       24.444       34.595   0.97019
    120      0.145294     0.150142      24.4015      34.5296  0.970296
    121      0.145338     0.147348      24.3944      34.7007  0.970608
    122      0.145104     0.146878      24.3975      34.7305  0.970925
    123      0.144725     0.147231      24.3782      34.6925  0.970836
    124      0.144803     0.146166      24.3758      34.7807  0.971326
    125      0.144762     0.149166      24.4         34.5711  0.969626
    126      0.144056     0.147003      24.4104      34.7051  0.970742
    127      0.143723     0.147517      24.4215      34.6949  0.970861
    128      0.143301     0.146345      24.3592      34.7541  0.970843
    129      0.143163     0.146605      24.4065      34.7481  0.971115
    130      0.143033     0.144672      24.3974      34.8551  0.971917
    131      0.142472     0.14526       24.3862      34.8255  0.971828
    132      0.141894     0.145609      24.4178      34.8243  0.971565
    133      0.141669     0.145147      24.4216      34.8303  0.971268
    134      0.141895     0.146768      24.4008      34.7384  0.971009
    135      0.141842     0.144384      24.4048      34.8682  0.971657
    136      0.14103      0.144467      24.3904      34.8861  0.971409
    137      0.140375     0.145002      24.3809      34.8369  0.971205
    138      0.141289     0.14507       24.373       34.8398  0.971663
    139      0.140532     0.143683      24.3874      34.9364  0.972071
    140      0.140781     0.145062      24.3804      34.8743  0.971525
    141      0.140281     0.143933      24.3721      34.922   0.971812
    142      0.13982      0.142058      24.4013      35.035   0.972703
    143      0.139227     0.142516      24.3967      35.0097  0.972465
    144      0.139273     0.143019      24.4001      34.9594  0.972329
    145      0.138896     0.143297      24.407       34.9305  0.971986
    146      0.138779     0.14269       24.3801      34.9851  0.972264
    147      0.138617     0.14193       24.3985      35.0239  0.972723
    148      0.138193     0.14205       24.4464      35.0132  0.972639
    149      0.138281     0.142299      24.3824      35.0002  0.9725
    150      0.138199     0.140622      24.4629      35.1308  0.973064
    151      0.13668      0.140734      24.3858      35.1305  0.973088
    152      0.137855     0.14073       24.3562      35.1207  0.972708
    153      0.137236     0.140753      24.4187      35.1225  0.973055
    154      0.137163     0.140542      24.4128      35.1085  0.973175
