  Epoch    Train Loss    Test Loss    Base PSNR    Test PSNR      SSIM
-------  ------------  -----------  -----------  -----------  --------
      1      0.960983     0.575065      22.6741      23.1018  0.714625
      2      0.847498     0.573961      22.6477      23.149   0.70744
      3      0.749487     0.571359      22.6394      23.2002  0.680778
      4      0.703232     0.571053      22.6461      23.2201  0.680304
      5      0.688121     0.568395      22.6625      23.3271  0.687639
      6      0.687849     0.589816      22.6391      22.8616  0.645985
      7      0.636114     0.575304      22.6663      23.134   0.653729
      8      0.611494     0.575153      22.6351      23.0514  0.652955
      9      0.606598     0.578203      22.6117      23.0402  0.664886
     10      0.623624     0.57494       22.6511      23.3051  0.676934
     11      0.625768     0.586131      22.6251      22.8907  0.653776
     12      0.563607     0.585264      22.6213      22.8335  0.642757
     13      0.53595      0.591733      22.6238      22.5539  0.625128
     14      0.532129     0.591401      22.6411      22.5922  0.634087
     15      0.530577     0.586151      22.6441      22.7331  0.640273
     16      0.52801      0.586997      22.6292      22.7368  0.640097
     17      0.525324     0.578026      22.5982      23.0193  0.656286
