  Epoch    Train Loss    Test Loss    Base PSNR    Test PSNR      SSIM
-------  ------------  -----------  -----------  -----------  --------
      1      0.919713     1.43784       21.764       9.78598  0.297328
      2      0.816977     1.58468       21.761       8.7695   0.287141
      3      0.796539     1.54899       21.7965      9.08132  0.289047
      4      0.805196     1.72301       21.8024      7.98554  0.266386
      5      0.725826     1.58413       21.7796      9.0021   0.279157
      6      0.671959     1.74064       21.8073      8.0105   0.280236
      7      0.62691      1.29405       21.7845     11.197    0.339398
      8      0.606655     1.71347       21.7889      8.16645  0.261251
      9      0.59629      1.09467       21.755      13.2082   0.402595
     10      0.582801     1.29479       21.7567     11.2084   0.337488
     11      0.580204     1.32222       21.7617     10.9898   0.348324
     12      0.578481     1.49195       21.7596      9.70384  0.315775
     13      0.552864     1.49017       21.7872      9.66486  0.331964
     14      0.525909     1.21083       21.7663     11.9961   0.384342
     15      0.512883     1.3777        21.753      10.5574   0.347173
     16      0.504901     1.0937        21.7688     13.1206   0.406851
     17      0.500283     1.33983       21.7809     10.772    0.347963
     18      0.496815     1.16038       21.7662     12.4444   0.391414
     19      0.484645     1.00066       21.7742     14.2837   0.429912
     20      0.474343     1.08473       21.7687     13.2679   0.404366
     21      0.467279     1.1552        21.7365     12.4313   0.366872
     22      0.460843     0.816917      21.7808     16.9449   0.490447
     23      0.470255     1.07171       21.8        13.3054   0.400176
     24      0.470326     0.838351      21.7336     16.5826   0.48188
     25      0.449369     1.11938       21.7786     12.7497   0.393078
     26      0.440146     0.906347      21.7794     15.4045   0.441939
     27      0.431737     0.815721      21.7926     16.7812   0.497122
     28      0.424752     0.838145      21.7519     16.3253   0.483078
     29      0.419175     0.81645       21.7517     16.8219   0.459902
     30      0.410787     0.897617      21.7917     15.3557   0.455708
     31      0.403452     0.643468      21.7762     20.2552   0.608179
     32      0.414414     1.03749       21.7661     13.5751   0.40536
     33      0.438382     0.783956      21.7812     17.5363   0.516401
     34      0.410775     0.977286      21.7763     14.3096   0.437204
     35      0.400567     0.595685      21.7921     21.5388   0.660037
     36      0.388159     0.659688      21.7505     19.5904   0.58167
     37      0.376186     0.560324      21.756      22.3267   0.684665
     38      0.373207     0.617936      21.7558     20.6096   0.619361
     39      0.368216     0.625911      21.7838     20.3043   0.604721
     40      0.365772     0.569355      21.7198     22.0813   0.670358
     41      0.361022     0.609097      21.8008     20.661    0.613806
     42      0.363866     0.727384      21.7847     17.9297   0.517729
     43      0.36637      0.604644      21.7597     20.7656   0.59735
     44      0.395844     0.778332      21.7705     17.0835   0.502803
     45      0.395473     0.780297      21.7654     17.0047   0.494687
     46      0.363153     0.773525      21.7727     17.0918   0.502971
     47      0.359672     0.783172      21.7643     16.9289   0.497475
     48      0.358206     0.800059      21.7847     16.6192   0.492157
     49      0.355138     0.813578      21.7457     16.4225   0.486146
